,Story,Sentence,Type
0,צפירה - אתגר קרת,"""שמעת,"" אמר לי צורי בפה מלא פלאפל, ""שרון עבר היום את הראיון,
אחרי הגיוס יש לו עוד איזה גיבושון קטן, והוא בשייטת",NotDescriptive
1,צפירה - אתגר קרת,"תאום משום מקום באה צפירה ,שכחתי בכלל שהיום יום
הזכרון. שרון וגלעד הזדקפו שניהם. ",NotDescriptive
2,צפירה - אתגר קרת,ביום השואה לקחו את כל הכיתות לאולם התעמלות.,NotDescriptive
3,צפירה - אתגר קרת,ואני התחלתי ללכת. ,NotDescriptive
4,צפירה - אתגר קרת," אתה יודע מה
זה להיות בשייטת? הם בוחרים אחד מאלף..."" אביב התחיל לקלל",NotDescriptive
5,צפירה - אתגר קרת,"הסתכלתי עליהם עומדים כמו בובות
בחלון ראווה",Descriptive
6,צפירה - אתגר קרת,"באולם סידרו מין
במה מאולתרת ומאחוריה הדביקו על הקיר בריסטולים שחורים עם
שמות של מחנות ריכוז וציורים של גדרות תיל",Descriptive
7,צפירה - אתגר קרת,"""לא, לא משם"", משכה את זרועי.",NotDescriptive
8,צפירה - אתגר קרת,"היית צריך לראות אותם עושים חארקות על האופניים של
שולם, כמו ילדים קטנים",NotDescriptive
9,צפירה - אתגר קרת,"איפה שרון?"" שאלתי, ""לא ראיתי אותו היום."" הקול שלי
קצת רעד",NotDescriptive
10,צפירה - אתגר קרת,וכל הפחד שלי פתאום נעלם,NotDescriptive
11,צפירה - אתגר קרת,"כשנכנסנו לאולם, סיון
ביקשה ממני שאשמור לה מקום. תפסתי לנו שני מקומות.",NotDescriptive
12,צפירה - אתגר קרת,"""הם יבואו מהשער אז כדאי שתצא מהחור בגדר שמאחורי
הצריפים""",NotDescriptive
13,צפירה - אתגר קרת,"שרון היה מה זה מרוצה שעבר את שלב
הראיון ",NotDescriptive
14,צפירה - אתגר קרת,"שרון במבדקים של הקומנדו הימי,"" אמרה סיון בגאווה,
""הוא כבר עבר כמעט את כל השלבים, נשאר לו רק עוד איזה ראיון"".",NotDescriptive
15,צפירה - אתגר קרת," גלעד שעמד מתוח, עיניו
עצומות, והחזיק את הז'קט של שרון בידו נראה לי כמו קולב בגדים
מגודל",NotDescriptive
16,צפירה - אתגר קרת,"הג'ינס היה דק ונעים כזה, והתרגשתי כאילו נגעתי
לה ממש בגוף.",Descriptive
17,צפירה - אתגר קרת,"שמחתי שסיון דואגת לי כל-כך, אפילו יותר משפחדתי ",NotDescriptive
18,צפירה - אתגר קרת,".אח שלי אמר שדווקא בראיון האישי נופלים הכי הרבה."" הלכתי 
למגרש של בית-ספר, אבל אף אחד לא היה שם. האופניים של שולם,
שהיו קשורות תמיד למעקה שליד חדר האחות, נעלמו ",NotDescriptive
19,צפירה - אתגר קרת,"מרחוק ראיתי את גלעד מתקרב אלינו במעבר, ""אתה יודע שהוא הולך
לקבל במסיבת סיום פרס תלמיד מצטיין? המנהל כבר הודיע""",NotDescriptive
20,צפירה - אתגר קרת,"ושרון, עם המבט הרצחני שלו והיד המאוגרפת,",NotDescriptive
21,צפירה - אתגר קרת,"מה מהטתניקים עלו על הבמה והטקס
התחיל ",Descriptive
22,צפירה - אתגר קרת,מאחורי הצריפים חיכה לי שרון.,NotDescriptive
23,צפירה - אתגר קרת,"בבוקר שבאתי לבית-ספר
האופניים עוד לא היו שם",NotDescriptive
24,צפירה - אתגר קרת,"""סיון"",
אמר גלעד שהגיע כבר ממש עד אלינו, ""מה את עושה כאן? הספסלים
האלה ממש לא נוחים.",NotDescriptive
25,צפירה - אתגר קרת,"הלכתי
לפירצה בגדר ויצאתי ממנה לאט ובשקט, מאחורי שמעתי את שרון מסנן
בשקט, ""אנחנו עוד נזיין אותך""",NotDescriptive
26,צפירה - אתגר קרת,"נפתחה לו הפיתה מלמטה וכל הטחינה והמים של הסלט התחילו ליזול לו
על הידיים",Descriptive
27,צפירה - אתגר קרת,"""אל תחשוב על זה אפילו"", אמר, ""אין
לך סיכוי""",NotDescriptive
28,צפירה - אתגר קרת,"חיכיתי שכולם יכנסו לכיתות ואז הלכתי לספר
למנהל",NotDescriptive
29,צפירה - אתגר קרת,"בואי ,שמרתי לך מקום בכסאות מאחורה."" ""כן,""
חייכה אלי סיון חיוך מתנצל וקמה, ""כאן ממש צפוף.""",NotDescriptive
30,צפירה - אתגר קרת,אבל הוא לא זז אפילו מילימטר,NotDescriptive
31,צפירה - אתגר קרת,"צורי חצי גיחך חצי נחנק וחתיכות של עגבניה ופיתה
עפו לו מהפה",Descriptive
32,צפירה - אתגר קרת,הסתובבתי,NotDescriptive
33,צפירה - אתגר קרת," היא הלכה לשבת
עם גלעד מאחורה.",NotDescriptive
34,צפירה - אתגר קרת,"על המדרגות
היתה זרוקה שרשרת מפורקת ומנעול של ירדני",Descriptive
35,צפירה - אתגר קרת,מאחורי עמד גלעד,NotDescriptive
36,צפירה - אתגר קרת,"מנהל אמר שעשיתי את הדבר הנכון, ושאף אחד לא ידע על
השיחה שלנו, וביקש מהמזכירה שתרשום",NotDescriptive
37,צפירה - אתגר קרת,"לעד היה החבר הכי טוב של שרון, הם שיחקו יחד
בנבחרת הכדורסל של התיכון.",NotDescriptive
38,צפירה - אתגר קרת,"מגע ידה היה קר
ונעים",Descriptive
39,צפירה - אתגר קרת,"תמיד ידעתי שאתה נקניק"",
אמר שרון, ""אבל אף פעם לא חשבתי שאתה טיפוס של מלשין""",NotDescriptive
40,צפירה - אתגר קרת,"באותו יום לא קרה כלום, וגם לא ביום שאחרי, אבל ביום 
חמישי המנהל נכנס לכיתה עם שוטר במדים וביקש משרון וגלעד לצאת",NotDescriptive
41,צפירה - אתגר קרת,"אחרי שכל התלמידים דיקלמו את הקטעים הרגילים עלה על הבמה איש
אחד די מבוגר עם סוודר בורדו וסיפר על אושוויץ.",NotDescriptive
42,צפירה - אתגר קרת,"""למה
הלשנת עלינו, יא זבל?"" דחף אותי גלעד בכוח, עפתי על שרון והוא דחף
אותי ממנו.",NotDescriptive
43,צפירה - אתגר קרת,"לא עשו להם כלום, רק הזהירו אותם",NotDescriptive
44,צפירה - אתגר קרת,"הוא היה אבא של
מישהו מהתלמידים",NotDescriptive
45,צפירה - אתגר קרת,"נראה פתאום כמו
ילד קטן שמנסה לחקות איזה פוזה שראה פעם בסרט פעולה",Descriptive
46,צפירה - אתגר קרת,"""אני אגיד לך למה הוא הלשין"". אמר שרון, ""בגלל שאלי שלנו
קנאי מלוכלך.",NotDescriptive
47,צפירה - אתגר קרת,"את האופניים הם לא יכלו להחזיר,
כי סתם זרקו אותם באיזה מקום, אבל אבא של שרון בא במיוחד לבית-
ספר והביא לשולם
אופני ספורט חדשות",NotDescriptive
48,צפירה - אתגר קרת,"הוא לא דיבר הרבה, רבע שעה בערך. אחר-כך חזרנו
לכיתות",NotDescriptive
49,צפירה - אתגר קרת,"אני
המשכתי ללכת הביתה, עובר ברחוב בין האנשים הקפואים כמו בובות
שעווה, הצפירה עוטפת אותי במגן בלתי-נראה",Descriptive
50,צפירה - אתגר קרת," הוא מסתכל עלי ורואה שאני תלמיד יותר טוב ממנו
וספורטאי יותר טוב ממנו, ושיש לי חברה שהיא הבחורה הכי יפה בבית-
ספר, בזמן שהוא עוד מסכן ובתול, וזה אוכל אותו מבפנים"". שרון הוריד
את ז'קט העור שלו והושיט אותו לגלעד, ""אז הנה, אלי, הצלחת",NotDescriptive
51,צפירה - אתגר קרת,"שולם בהתחלה לא רצה לקחת אותם. ""הכי בריא
ללכת ברגל"", אמר לאבא של שרו",NotDescriptive
52,צפירה - אתגר קרת,"כשיצאנו החוצה ראיתי את שולם השרת שלנו יושב על המדרגות
של חדר האחות ובוכה",NotDescriptive
53,צפירה - אתגר קרת,"יון התיישבה
לידי, היה קצת צפוף על הספסלים",NotDescriptive
54,צפירה - אתגר קרת,"מר ופתח את רצועת שעון הצלילה שלו ושם אותו ""אבא שלי
חושב שאני גנב, כמעט פתחו לי תיק במשטרה",NotDescriptive
55,צפירה - אתגר קרת,"בל אבא של שרון התעקש ושולם
בסוף לקח אותם",NotDescriptive
56,צפירה - אתגר קרת,"הי ,שולם, מה קרה?"" שאלתי. ""האיש הזה
באולם,"" אמר שולם, ""אני מכיר אותו, גם אני הייתי בזונדרן קומנדו.""",NotDescriptive
57,צפירה - אתגר קרת,"שמתי את המרפק על הרגל שלי וגב
ידי נגעה בג'ינס שלה",NotDescriptive
58,צפירה - אתגר קרת,"תלמיד מצטיין אני כבר
לא אקבל",NotDescriptive
59,צפירה - אתגר קרת,"זה היה מצחיק לראות את שולם נוסע על אופני ספורט,
ואני ידעתי שהמנהל צדק ובאמת עשיתי את הדבר הנכון",NotDescriptive
60,צפירה - אתגר קרת,"""אתה היית בקומנדו? מתי?"" שאלתי, לא יכולתי לדמיין את שולם הרזה
והקטן שלנו בשום יחידת קומנדו, אבל מי יודע, אולי",NotDescriptive
61,צפירה - אתגר קרת,"עכשיו אתה מרוצה?"" רציתי להגיד לו שזה לא בגלל זה ,שזה
בגלל שולם, שגם הוא היה ביחידת קומנדו, שהוא בכה כמו ילד ביום
השואה",NotDescriptive
62,צפירה - אתגר קרת,"ף-אחד לא
חשד שסיפרתי, ככה לפחות חשבתי אז. היומיים הבאים עברו כרגיל, אבל
ביום שני שבאתי לבית-ספר חיכתה לי סיון בחצר",NotDescriptive
63,צפירה - אתגר קרת,"שולם ניגב את
העיניים שלו בכפות ידיו ונעמד, ""לא חשוב,"" אמר לי שולם, ""לך, לך
לכיתה. זה באמת לא חשוב "".",NotDescriptive
64,צפירה - אתגר קרת,"אני הסתכלתי על הבמה ונשמתי עמוק,
כף-היד שלי עדיין הזיעה.",NotDescriptive
65,צפירה - אתגר קרת,"מקום זה אמרתי, ""זה בכלל לא זה... לא הייתם צריכים לגנוב
לו את האופניים, לא היה בזה שום טעם. אין לכם כבוד"".",NotDescriptive
66,צפירה - אתגר קרת,ביום השואה לקחו את כל הכיתות לאולם התעמלות.,NotDescriptive
67,צפירה - אתגר קרת,"""תשמע, אלי "",היא
אמרה לי, ""שרון גילה שאתה זה שהלשנת על האופניים, אתה חייב
להסתלק מכאן לפני שהוא וגלעד יתפסו אותך",NotDescriptive
68,צפירה - אתגר קרת,אחרי הצהריים ירדתי למרכז המסחרי.,NotDescriptive
69,צפירה - אתגר קרת,"כשדיברתי רעד
לי הקול, ""אתה שומע, גלעד, השטינקר הבכיין הזה יסביר לנו מה זה
כבוד. כבוד זה לא להלשין על חברים, יא חרא"", אמר שרון ואיגרף את
ידו, ""אני וגלעד נלמד אותך עכשיו מה זה כבוד, בדרך הקשה"".",NotDescriptive
70,צפירה - אתגר קרת,"הג'ינס היה דק ונעים כזה, והתרגשתי כאילו נגעתי
לה ממש בגוף",Descriptive
71,צפירה - אתגר קרת," השתדלתי להסתיר את
הפחד, לא רציתי שסיון תראה שאני מפחד""",NotDescriptive
72,צפירה - אתגר קרת,בפלאפל פגשתי את אביב וצורי,NotDescriptive
73,צפירה - אתגר קרת,"פגשנו אותו עכשיו במגרש של בית-ספר. הוא וגלעד השתוללו
שם, בירות והכל",NotDescriptive
74,צפירה - אתגר קרת,"רציתי 
לזוז משם, לברוח ,להרים את הידיים כדי להגן על הפנים אבל הפחד
שיתק אותי.",NotDescriptive
75,צפירה - אתגר קרת,"אולם סידרו מין
במה מאולתרת ומאחוריה הדביקו על הקיר בריסטולים שחורים עם
שמות של מחנות ריכוז וציורים של גדרות תיל.",Descriptive
76,צפירה - אתגר קרת,"מהר, תברח,"" היא אמרה.",NotDescriptive
