Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637," גב היד השעירה שלו, כמו חולדה,"," נגעה בך. 120 יום*** גב היד השעירה שלו, כמו חולדה,***כשלקח ממך את הקופסה,",4520,4550,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_B95469DC-97DA-4655-B664-C818463A3F0F,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637,גם הוא כבר לא צעיר,", כל הקהל מת.***גם הוא כבר לא צעיר***הסדרנים שחוץ מצופה אחד, ",2288,2306,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_942DA602-EA12-4D70-A544-10E992C8FC76,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637,"א לצאת לעבודה, לא ללכת לקניון, לא לשבת בבית קפה עם חברה",", לא לקבל פתאום ברחוב***א לצאת לעבודה, לא ללכת לקניון, לא לשבת בבית קפה עם חברה***כולם כבר התרגלו: ל",3131,3186,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_F65C1C57-A1C0-4B8B-99EF-9D8D358B3259,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637,אני חושב שלכדורגלן הישראלי אין מה לחפש בליגות האירופיות ,"המובילות...""***אני חושב שלכדורגלן הישראלי אין מה לחפש בליגות האירופיות ***אדם לקבל החלטות גרועות. ",6093,6149,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_FEEC15D1-D506-4159-AFFB-ADD80FE3F615,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637,משהו על אהבה שיכולה לרפא כמעט הכל ,"ועל איך, מאז שפגש***משהו על אהבה שיכולה לרפא כמעט הכל ***אבל גם מאיר עיניים, ",8358,8392,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_FE64FF8D-372E-4430-8E7E-5EC2C5A0A2D1,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637,"לא לקבל פתאום ברחוב חיבוק מעיק ממישהו ששירת איתך בצבא.
","
הממשלה נתנה לאנשים עוד כמה***לא לקבל פתאום ברחוב חיבוק מעיק ממישהו ששירת איתך בצבא.
***בבית קפה עם חברה, ",3188,3244,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_9E51D897-1391-4D53-AFE6-91C521AE09D1,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637,"ראש השנה אם לדייק,"," למגע מיני בהסכמה. בערב***ראש השנה אם לדייק,***הובילה מאוחר יותר, ב",7582,7600,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_188E7E5B-BFE7-406C-8F51-3CD21DE88719,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637,"ם אישה נמוכה, גמדה ממש, בעלת תווי פנים נאים",".

""אתם בטח מוצפים***ם אישה נמוכה, גמדה ממש, בעלת תווי פנים נאים***""כלל"", ע",5396,5439,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_DCED8FB0-0DF2-43A0-99A5-EBAC0E8A6CC9,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637," את מחפשת בנייד משהו שיעזור לך להתאפס. פגישות קודמות, שיחות שלא נענו, כתובות בתזכורות."," ברחוב סביבך אנשים מתרוצצים,*** את מחפשת בנייד משהו שיעזור לך להתאפס. פגישות קודמות, שיחות שלא נענו, כתובות בתזכורות.***לא יודעת בדיוק לאן.",3791,3877,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_98EFFD23-44E8-40C0-A069-EC8DB5F0B21E,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637,"אני לא מכיר את הדמויות. הן יפות, הן נרגשות, הן צועקות זו על זו בספרדית. אין תרגום, אז קשה להבין על מה בדיוק. ","אני עוצם עיניים ונזכר באישה***אני לא מכיר את הדמויות. הן יפות, הן נרגשות, הן צועקות זו על זו בספרדית. אין תרגום, אז קשה להבין על מה בדיוק. ***. זה פרק 436 ו",1234,1343,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_197FB6AC-BA3B-423B-9955-90C94B74D3EE,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637, יש לך זיכרון עמום של צעיר משופם משליך עלייך אבן., אולי את בכלל עובדת סוציאלית*** יש לך זיכרון עמום של צעיר משופם משליך עלייך אבן.***. או בית כלא.,3592,3641,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_DA1CFFD7-392E-4AA4-A2B3-8518BE8060ED,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637,"ילדים עם שיער קוצים עקפו אותם מכל הכיוונים רכובים על קורקינטים חשמליים ועל אופניים.","

""אני לא חושב שילדים***ילדים עם שיער קוצים עקפו אותם מכל הכיוונים רכובים על קורקינטים חשמליים ועל אופניים.***הכביש בדרך השלום, ו",7670,7754,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_922C63A7-E018-45B6-9D74-2A0322F8853B,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637,"האוויר שורק בריאות,"," ואת לא יודעת אם תחזיקי***האוויר שורק בריאות,***הלב שלך דופק בפחד, ",4612,4631,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_3F0B4691-4FB5-402D-B7DB-C27B2AA97119,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637,"אמר הגבר המקריח, עיניו ממצמצות אל מול אור השמש",". הוא היה בכלל בטוח***אמר הגבר המקריח, עיניו ממצמצות אל מול אור השמש***. ""סרט?"" ",2812,2858,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_53EE711F-39DA-4CC9-9C64-803896179934,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637,פניו עיטר זקן צרפתי,. השמן הסביר לו שהוא***פניו עיטר זקן צרפתי***ערך אותו איש שמן שאת ,9309,9328,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_1DDF55D2-7F58-475B-A016-6D2C7B73538E,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637," הלב שלך דופק בפחד,"," האוויר שורק בריאות, ואת*** הלב שלך דופק בפחד,***שאף אחד נגע בך.",4592,4611,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_317EC195-A858-428E-A630-3D9989335ACF,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637,אפילו את משקפי השמש לא זכרת.," והיית יכולה לנסות לחזור עכשיו***אפילו את משקפי השמש לא זכרת.***לקחת את המפתחות והארנק, ",4145,4173,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_BCD71D80-E89F-4D41-A392-8FC5B2EB28F0,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637,מו שמש שצובעת את המציאות בצבעי מים רכים,", אבל כיוון שידע שכל***מו שמש שצובעת את המציאות בצבעי מים רכים***היא מאירה את חייו כ",8437,8476,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_EF833AD1-7242-4361-85A8-E24BCF439BC7,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637,הכרטיסים המועטים שהוצעו לציבור נמכרו בשוק השחור במחיר מופקע,". ההקרנה ארכה, כמובטח***הכרטיסים המועטים שהוצעו לציבור נמכרו בשוק השחור במחיר מופקע***בכירי מבקרי הקולנוע, ו",2130,2189,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_8E3216D7-630B-4A4F-8B77-CDF35052B1F6,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637,"ברחוב סביבך אנשים מתרוצצים, וחלקם נראים מבוהלים ממש",". גם הם לא זוכרים***ברחוב סביבך אנשים מתרוצצים, וחלקם נראים מבוהלים ממש***נענו, כתובות בתזכורות. ",3878,3929,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_923D088F-EC2C-4E5E-AD74-A649B3367ABC,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637,"יצולם בשלוש מצלמות ויהיה,"," אחד לאחד, באורך חיי***יצולם בשלוש מצלמות ויהיה,***שייקרא ""החיים"", ",1623,1648,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_33C9CBE4-37F8-43EF-93E6-282F369C8F91,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637, אין כמו לסיים הכל עם כמה כוכבים בשמיים וטלנובלה ארגנטינאית גרועה על המסך,". זה פרק 436 ואני*** אין כמו לסיים הכל עם כמה כוכבים בשמיים וטלנובלה ארגנטינאית גרועה על המסך***אבל אם זה הסוף,",1147,1220,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_2E757D51-B694-44EA-82CB-E77934E5060D,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637,הדליקה לעצמה סיגריה ארוכה ודקה.,"

""אבל למה?""***הדליקה לעצמה סיגריה ארוכה ודקה.***"", אמרה הגמדה ו",6214,6245,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_7118029A-9151-40AA-A57F-86C3271D8998,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637,"זה כמו לרכוב על אופניים, הגוף זוכר הכל, ","והלב הזה שהרפה כשהיית לבדך***זה כמו לרכוב על אופניים, הגוף זוכר הכל, ***. אין ממה לחשוש. ",4912,4952,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_C12023E8-D349-4A7A-84D8-C4BEBF210B04,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637,"להיות יותר חמים משאני באמת, ניסיתי להריח כאילו רק הרגע נולדתי.","

* * *


מאצ'ק סמולנסקי***להיות יותר חמים משאני באמת, ניסיתי להריח כאילו רק הרגע נולדתי.***כשהתחבקנו ניסיתי להיות קטן, ",1407,1469,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_AB119644-C5B2-4383-B096-9D2E0765709D,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637, גיבורו המופנם של הסרט,", ונמשכו 73 שנה.*** גיבורו המופנם של הסרט***בלידתו של מתאוש קרוטוצ'ובסקי,",1717,1739,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_3A6044C9-69DA-4EB1-B95E-D73AAE58EBEC,,,
"tag=""%""@2021-12-27T14:33:19.412",D_FEBADA96-CDC9-4090-8241-692C20EB94C3,זיתים או סוף העולם בלוז,10637," זיתים ממולאים בגמבה, מהסוג שאני הכי אוהב.","

כשחזרתי לקופת האקספרס הקופאית המבוגרת*** זיתים ממולאים בגמבה, מהסוג שאני הכי אוהב.***נותרה רק צנצנת אחת של",409,452,C_ACD08738-CDE7-45E4-8028-C7D2D0128CC3,זיתים או סוף העולם בלוז Default Annotations,/נוף,,#BB9D2C,CATMA_127A9849-D5E6-424C-92CE-A2792CA629BA,,,
